rank,name,team,position,Total Tackles,Asists,Sacks,Forced Fumbles,Interseptions,Touchdowns,Yards
1,Preston Brown,BUF,MLB,84,60,0.0,0,0,0,0
1,Blake Martinez,GB,ILB,96,48,1.0,1,1,0,3
1,Joe Schobert,CLE,MLB,87,57,3.0,3,1,0,8
4,Deion Jones,ATL,MLB,91,47,1.0,0,3,0,42
4,Christian Kirksey,CLE,OLB,86,52,3.5,2,0,0,0
6,Demario Davis,NYJ,ILB,97,38,5.0,0,0,0,0
7,Bobby Wagner,SEA,MLB,97,36,1.5,0,2,0,7
8,C.J. Mosley,BAL,ILB,96,36,1.0,3,2,1,94
9,Zach Brown,WAS,ILB,84,43,2.5,0,0,0,0
10,Luke Kuechly,CAR,MLB,74,51,1.5,1,3,0,23
11,Wesley Woodyard,TEN,ILB,84,40,5.0,0,0,0,0
12,Reshad Jones,MIA,FS,94,28,1.5,0,2,0,15
13,Keanu Neal,ATL,SS,83,33,0.0,3,1,0,19
14,Kiko Alonso,MIA,MLB,79,36,1.0,2,0,0,0
15,Eric Kendricks,MIN,MLB,67,46,1.0,0,1,1,31
16,Tahir Whitehead,DET,OLB,78,32,1.0,0,1,0,18
17,Antonio Morrison,IND,ILB,64,45,0.0,0,0,0,0
18,K.J. Wright,SEA,OLB,71,37,0.0,0,1,0,1
19,Brandon Marshall,DEN,ILB,75,31,3.0,1,0,0,0
20,Landon Collins,NYG,SS,78,26,0.0,1,2,0,21
21,Telvin Smith,JAX,OLB,76,26,1.0,1,3,1,56
22,Lavonte David,TB,OLB,76,25,0.0,5,0,0,0
22,Sean Lee,DAL,MLB,70,31,0.0,0,1,0,9
24,Matthias Farley,IND,SS,60,38,0.0,1,2,0,9
25,Kwon Alexander,TB,MLB,70,27,0.0,1,3,0,70
25,Jon Bostic,IND,ILB,57,40,1.0,0,0,0,0
25,Devin McCourty,NE,FS,80,17,1.0,0,1,0,0
28,Jahleel Addae,LAC,SS,66,30,0.5,0,0,0,0
28,Jarrad Davis,DET,MLB,65,31,2.0,1,1,0,12
30,Karlos Dansby,ARI,ILB,74,21,1.0,0,1,0,4
30,Benardrick McKinney,HOU,ILB,62,33,3.0,1,0,0,0
30,Alec Ogletree,LA,ILB,63,32,2.0,1,1,1,41
30,Jordan Poyer,BUF,FS,63,32,2.0,0,5,1,33
34,Darron Lee,NYJ,ILB,67,27,3.0,2,0,0,0
35,De,ATL,OLB,61,31,2.0,1,0,0,0
35,Sean Davis,PIT,SS,71,21,1.0,1,3,0,76
35,Avery Williamson,TEN,ILB,52,40,3.0,2,0,0,0
38,Zach Cunningham,HOU,ILB,48,42,1.5,1,0,0,0
38,Myles Jack,JAX,OLB,66,24,2.0,0,0,0,0
38,Christian Jones,CHI,ILB,60,30,2.0,1,0,0,0
38,Patrick Onwuasor,BAL,ILB,67,23,1.0,1,0,0,0
42,NaVorro Bowman,OAK,MLB,58,31,1.5,0,1,0,0
42,Ramon Humber,BUF,OLB,60,29,1.0,1,0,0,0
42,Reggie Nelson,OAK,FS,60,29,0.0,2,1,0,3
42,Ryan Shazier,PIT,ILB,68,21,0.0,2,3,0,2
42,Daniel Sorensen,KC,SS,67,22,1.5,0,1,0,3
42,Danny Trevathan,CHI,ILB,60,29,2.0,1,1,0,8
42,Vince Williams,PIT,ILB,69,20,8.0,0,1,0,13
49,Nigel Bradham,PHI,OLB,61,27,1.0,1,0,0,0
49,Earl Thomas,SEA,FS,56,32,0.0,1,2,1,97
