rank,name,team,position,Total Tackles,Asists,Sacks,Forced Fumbles,Interseptions,Touchdowns,Yards

1,Chandler Jones,ARI,OLB,52,7,17.0,2,0,0,0

2,Calais Campbell,JAX,DE,47,20,14.5,3,0,0,0

2,Demarcus Lawrence,DAL,DE,35,23,14.5,4,0,0,0

4,Everson Griffen,MIN,DE,31,14,13.0,3,0,0,0

4,Cameron Jordan,NO,DE,48,14,13.0,2,1,1,0

4,Ryan Kerrigan,WAS,OLB,34,12,13.0,3,1,1,24

7,Joey Bosa,LAC,DE,54,16,12.5,4,0,0,0

8,Ezekiel Ansah,DET,DE,39,5,12.0,1,0,0,0

8,Cameron Heyward,PIT,DE,30,15,12.0,2,0,0,0

8,Yannick Ngakoue,JAX,DE,24,6,12.0,6,0,0,0

11,Mario Addison,CAR,DE,27,17,11.0,2,0,0,0

11,Aaron Donald,LA,DE,32,9,11.0,5,0,0,0

11,Julius Peppers,CAR,DE,21,12,11.0,2,0,0,0

11,Terrell Suggs,BAL,OLB,37,12,11.0,4,0,0,0

15,Melvin Ingram,LAC,OLB,43,13,10.5,1,0,0,0

15,Khalil Mack,OAK,DE,61,17,10.5,1,0,0,0

15,Cameron Wake,MIA,DE,26,10,10.5,0,0,0,0

18,Von Miller,DEN,OLB,51,6,10.0,2,0,0,0

19,Adrian Clayborn,ATL,DE,17,4,9.5,2,0,0,0

19,Jadeveon Clowney,HOU,OLB,41,18,9.5,2,0,0,0

19,Brandon Graham,PHI,DE,33,14,9.5,2,0,0,0

19,Justin Houston,KC,OLB,46,13,9.5,0,0,0,0

23,Geno Atkins,CIN,DT,29,17,9.0,0,0,0,0

23,Frank Clark,SEA,DE,19,13,9.0,2,0,0,0

25,Michael Bennett,SEA,DE,25,15,8.5,0,0,0,0

25,Akiem Hicks,CHI,DE,39,15,8.5,0,0,0,0

25,Carl Lawson,CIN,DE,10,6,8.5,0,0,0,0

25,Jason Pierre,NYG,DE,48,20,8.5,2,0,0,0

25,Robert Quinn,LA,OLB,21,11,8.5,2,0,0,0

30,Dante Fowler,JAX,DE,18,3,8.0,2,0,0,0

30,Bruce Irvin,OAK,OLB,38,20,8.0,4,0,0,0

30,Malik Jackson,JAX,DT,31,9,8.0,4,0,0,0

30,Matt Judon,BAL,OLB,50,10,8.0,2,0,0,0

30,Preston Smith,WAS,OLB,31,11,8.0,1,2,0,26

30,Vince Williams,PIT,ILB,69,20,8.0,0,1,0,13

36,Carlos Dunlap,CIN,DE,35,11,7.5,1,1,1,16

36,Clay Matthews,GB,OLB,27,16,7.5,1,0,0,0

36,Derrick Morgan,TEN,OLB,16,16,7.5,0,0,0,0

36,Kawann Short,CAR,DT,27,22,7.5,2,0,0,0

40,Myles Garrett,CLE,DE,19,12,7.0,1,0,0,0

40,Danielle Hunter,MIN,DE,27,18,7.0,1,0,0,0

40,David Irving,DAL,DT,13,9,7.0,1,0,0,0

40,Brian Orakpo,TEN,OLB,30,14,7.0,3,0,0,0

40,Nick Perry,GB,OLB,23,15,7.0,1,0,0,0

40,T.J. Watt,PIT,OLB,54,40,14,17,8,1,0

46,Elvis Dumervil,SF,DE,9,4,6.5,0,0,0,0

46,Trey Flowers,NE,DE,45,17,6.5,2,0,0,0

46,Chris Jones,KC,DE,22,10,6.5,0,1,0,4

46,Olivier Vernon,NYG,DE,22,15,6.5,2,1,0,0

46,Anthony Zettel,DET,DE,31,12,6.5,1,0,0,0

